boxid,boxname,itemid,itemname,value,keyid,day
51000,红色补给箱,20041,back_turtlebag,6,55001,7
51000,红色补给箱,20038,back_miladoll,6,55001,7
51000,红色补给箱,20036,back_lisaboard,6,55001,7
51000,红色补给箱,20037,back_milaboard,6,55001,7
51000,红色补给箱,10048,HEAD_boardhelemt,6,55001,7
51000,红色补给箱,10014,HEADCRAB,6,55001,7
51000,红色补给箱,20018,VALVE,6,55001,7
51000,红色补给箱,2008,POINTLOTTO,30,55001,0
51000,红色补给箱,2014,POINTLOTTO_GOLD,30,55001,0
51000,红色补给箱,2013,POINTLOTTO_EVENT,30,55001,0
50005,黑色补给箱,5222,F2000_chrome1,1,55001,0
50005,黑色补给箱,5223,mx4_chrome1,1,55001,0
50005,黑色补给箱,5224,akm_chrome1,1,55001,0
50005,黑色补给箱,5225,g3sg1_chrome1,1,55001,0
50005,黑色补给箱,5218,akm_nebula,1,55001,0
50005,黑色补给箱,5219,mk18_nebula,1,55001,0
50005,黑色补给箱,5220,awm_nebula,1,55001,0
50005,黑色补给箱,5140,m60_gold1,1,55001,0
50005,黑色补给箱,5142,galil_gold1,1,55001,0
50005,黑色补给箱,5141,famas_gold1,1,55001,0
50005,黑色补给箱,5143,ar57_chrome1,1,55001,0
50005,黑色补给箱,5144,mp7_chrome1,1,55001,0
50005,黑色补给箱,5145,krisssuperv_chrome1,1,55001,0
50005,黑色补给箱,5146,striker12_chrome1,1,55001,0
50005,黑色补给箱,5130,m3_gold1,1,55001,0
50005,黑色补给箱,5105,deserteagle_black1,1,55001,0
50005,黑色补给箱,5132,mp5_gold1,1,55001,0
50005,黑色补给箱,5133,scout_gold1,1,55001,0
50005,黑色补给箱,5119,ANACONDA_gold1,1,55001,0
50005,黑色补给箱,1007,LISA01,1,55001,0
50005,黑色补给箱,1008,MILA01,1,55001,0
50005,黑色补给箱,20005,WING,1,55001,0
50005,黑色补给箱,10012,ANGELRING,1,55001,0
50005,黑色补给箱,10052,HEAD_2015sheep,4,55001,7
50005,黑色补给箱,20042,back_2015sheep,4,55001,7
50005,黑色补给箱,30017,glove_2015sheep,4,55001,7
50005,黑色补给箱,10005,HELMET,4,55001,7
50005,黑色补给箱,10047,HEAD_sunglasshat,4,55001,7
50005,黑色补给箱,20035,back_deltabag,4,55001,7
50005,黑色补给箱,20040,back_p77,4,55001,7
50005,黑色补给箱,10049,HEAD_mask_01,4,55001,7
50005,黑色补给箱,10050,HEAD_mask_02,4,55001,7
50005,黑色补给箱,10072,head_head_rokahat,4,55001,7
50005,黑色补给箱,20057,back_rokabag,4,55001,7
50005,黑色补给箱,2019,INSTANT_RESPAWN,15,55001,0
50005,黑色补给箱,2020,HP_POTION,15,55001,0
50005,黑色补给箱,20041,back_turtlebag,6,55001,7
50005,黑色补给箱,20038,back_miladoll,6,55001,7
50005,黑色补给箱,20036,back_lisaboard,6,55001,7
50005,黑色补给箱,20037,back_milaboard,6,55001,7
50005,黑色补给箱,10048,HEAD_boardhelemt,6,55001,7
50005,黑色补给箱,10014,HEADCRAB,6,55001,7
50005,黑色补给箱,20018,VALVE,6,55001,7
50005,黑色补给箱,2008,POINTLOTTO,30,55001,0
50005,黑色补给箱,2014,POINTLOTTO_GOLD,30,55001,0
50005,黑色补给箱,2013,POINTLOTTO_EVENT,30,55001,0
51004,幸运的紫色补给箱,5261,usas12_opal1,1,55004,0
51004,幸运的紫色补给箱,5287,kriss_superv_amethyst1,1,55004,0
51004,幸运的紫色补给箱,5289,m60_amethyst1,1,55004,0
51004,幸运的紫色补给箱,5288,deserteagle_amethyst1,1,55004,0
51004,幸运的紫色补给箱,5215,elites_amethyst1,1,55004,0
51004,幸运的紫色补给箱,5216,awm_amethyst1,1,55004,0
51004,幸运的紫色补给箱,5217,k2c_amethyst1,1,55004,0
51004,幸运的紫色补给箱,5149,mg3_amethyst1,1,55004,0
51004,幸运的紫色补给箱,5150,dbarrel_amethyst1,1,55004,0
51004,幸运的紫色补给箱,5151,ak12_amethyst1,1,55004,0
51004,幸运的紫色补给箱,5152,acr_amethyst1,1,55004,0
51004,幸运的紫色补给箱,5105,deserteagle_black1,1,55004,0
51004,幸运的紫色补给箱,5143,ar57_chrome1,1,55004,0
51004,幸运的紫色补给箱,5144,mp7_chrome1,1,55004,0
51004,幸运的紫色补给箱,5145,krisssuperv_chrome1,1,55004,0
51004,幸运的紫色补给箱,5146,striker12_chrome1,1,55004,0
51004,幸运的紫色补给箱,5130,m3_gold1,1,55004,0
51004,幸运的紫色补给箱,5105,deserteagle_black1,1,55004,0
51004,幸运的紫色补给箱,5132,mp5_gold1,1,55004,0
51004,幸运的紫色补给箱,5133,scout_gold1,1,55004,0
51004,幸运的紫色补给箱,5119,ANACONDA_gold1,1,55004,0
51004,幸运的紫色补给箱,10052,HEAD_2015sheep,4,55004,7
51004,幸运的紫色补给箱,20042,back_2015sheep,4,55004,7
51004,幸运的紫色补给箱,30017,glove_2015sheep,4,55004,7
51004,幸运的紫色补给箱,10005,HELMET,4,55004,7
51004,幸运的紫色补给箱,10047,HEAD_sunglasshat,4,55004,7
51004,幸运的紫色补给箱,20035,back_deltabag,4,55004,7
51004,幸运的紫色补给箱,20040,back_p77,4,55004,7
51004,幸运的紫色补给箱,10049,HEAD_mask_01,4,55004,7
51004,幸运的紫色补给箱,10050,HEAD_mask_02,4,55004,7
51004,幸运的紫色补给箱,10072,head_head_rokahat,4,55004,7
51004,幸运的紫色补给箱,20057,back_rokabag,4,55004,7
51004,幸运的紫色补给箱,2019,INSTANT_RESPAWN,15,55004,0
51004,幸运的紫色补给箱,2020,HP_POTION,15,55004,0
51004,幸运的紫色补给箱,20041,back_turtlebag,6,55004,7
51004,幸运的紫色补给箱,20038,back_miladoll,6,55004,7
51004,幸运的紫色补给箱,20036,back_lisaboard,6,55004,7
51004,幸运的紫色补给箱,20037,back_milaboard,6,55004,7
51004,幸运的紫色补给箱,10048,HEAD_boardhelemt,6,55004,7
51004,幸运的紫色补给箱,10014,HEADCRAB,6,55004,7
51004,幸运的紫色补给箱,20018,VALVE,6,55004,7
51004,幸运的紫色补给箱,2008,POINTLOTTO,30,55004,0
51004,幸运的紫色补给箱,2014,POINTLOTTO_GOLD,30,55004,0
51004,幸运的紫色补给箱,2013,POINTLOTTO_EVENT,30,55004,0
50023,冰冻补给箱,1034,MILA02SWIM,1,55005,0
50023,冰冻补给箱,8510,lisa02blueprint,1,55005,0
50023,冰冻补给箱,8505,lisa02piece1,1,55005,0
50023,冰冻补给箱,8506,lisa02piece2,1,55005,0
50023,冰冻补给箱,8507,lisa02piece3,1,55005,0
50023,冰冻补给箱,8508,lisa02piece4,1,55005,0
50023,冰冻补给箱,8509,lisa02piece5,1,55005,0
50023,冰冻补给箱,5230,netlauncher_gold,1,55005,0
50023,冰冻补给箱,5231,harpoon_gold,1,55005,0
50023,冰冻补给箱,10077,head_watermelon,1,55005,0
50023,冰冻补给箱,5105,deserteagle_black1,3,55005,0
50023,冰冻补给箱,5143,ar57_chrome1,3,55005,0
50023,冰冻补给箱,5144,mp7_chrome1,3,55005,0
50023,冰冻补给箱,5145,krisssuperv_chrome1,3,55005,0
50023,冰冻补给箱,5146,striker12_chrome1,3,55005,0
50023,冰冻补给箱,5130,m3_gold1,3,55005,0
50023,冰冻补给箱,5105,deserteagle_black1,3,55005,0
50023,冰冻补给箱,5132,mp5_gold1,3,55005,0
50023,冰冻补给箱,5133,scout_gold1,3,55005,0
50023,冰冻补给箱,5119,ANACONDA_gold1,3,55005,0
50023,冰冻补给箱,10052,HEAD_2015sheep,3,55005,7
50023,冰冻补给箱,20042,back_2015sheep,3,55005,7
50023,冰冻补给箱,30017,glove_2015sheep,3,55005,7
50023,冰冻补给箱,10005,HELMET,3,55005,7
50023,冰冻补给箱,10047,HEAD_sunglasshat,3,55005,7
50023,冰冻补给箱,20035,back_deltabag,3,55005,7
50023,冰冻补给箱,20040,back_p77,3,55005,7
50023,冰冻补给箱,10049,HEAD_mask_01,3,55005,7
50023,冰冻补给箱,10050,HEAD_mask_02,3,55005,7
50023,冰冻补给箱,10072,head_head_rokahat,3,55005,7
50023,冰冻补给箱,20057,back_rokabag,3,55005,7
50023,冰冻补给箱,2019,INSTANT_RESPAWN,15,55005,0
50023,冰冻补给箱,2020,HP_POTION,15,55005,0
50023,冰冻补给箱,20041,back_turtlebag,6,55005,7
50023,冰冻补给箱,20038,back_miladoll,6,55005,7
50023,冰冻补给箱,20036,back_lisaboard,6,55005,7
50023,冰冻补给箱,20037,back_milaboard,6,55005,7
50023,冰冻补给箱,10048,HEAD_boardhelemt,6,55005,7
50023,冰冻补给箱,10014,HEADCRAB,6,55005,7
50023,冰冻补给箱,20018,VALVE,6,55005,7
50023,冰冻补给箱,2008,POINTLOTTO,30,55005,0
50023,冰冻补给箱,2014,POINTLOTTO_GOLD,30,55005,0
50023,冰冻补给箱,2013,POINTLOTTO_EVENT,30,55005,0
50024,深蓝补给箱,5294,fiveseven_cobalt1,1,55001,0
50024,深蓝补给箱,5295,tmp_cobalt1,1,55001,0
50024,深蓝补给箱,5296,acr_cobalt1,1,55001,0
50024,深蓝补给箱,5297,huntknife_cobalt1,1,55001,0
50024,深蓝补给箱,5182,striker12_cobalt1,1,55001,0
50024,深蓝补给箱,5183,scarl_cobalt1,1,55001,0
50024,深蓝补给箱,5184,aek971_cobalt1,1,55001,0
50024,深蓝补给箱,5238,mp5_cobalt1,1,55001,0
50024,深蓝补给箱,5239,m60_cobalt1,1,55001,0
50024,深蓝补给箱,5240,mk18_cobalt1,1,55001,0
50024,深蓝补给箱,5241,sg550_cobalt1,1,55001,0
50024,深蓝补给箱,10052,HEAD_2015sheep,3,55001,7
50024,深蓝补给箱,20042,back_2015sheep,3,55001,7
50024,深蓝补给箱,30017,glove_2015sheep,3,55001,7
50024,深蓝补给箱,10005,HELMET,3,55001,7
50024,深蓝补给箱,10047,HEAD_sunglasshat,3,55001,7
50024,深蓝补给箱,20035,back_deltabag,3,55001,7
50024,深蓝补给箱,20040,back_p77,3,55001,7
50024,深蓝补给箱,10049,HEAD_mask_01,3,55001,7
50024,深蓝补给箱,10050,HEAD_mask_02,3,55001,7
50024,深蓝补给箱,10072,head_head_rokahat,3,55001,7
50024,深蓝补给箱,20057,back_rokabag,3,55001,7
50024,深蓝补给箱,2019,INSTANT_RESPAWN,15,55001,0
50024,深蓝补给箱,2020,HP_POTION,15,55001,0
50024,深蓝补给箱,20041,back_turtlebag,6,55001,7
50024,深蓝补给箱,20038,back_miladoll,6,55001,7
50024,深蓝补给箱,20036,back_lisaboard,6,55001,7
50024,深蓝补给箱,20037,back_milaboard,6,55001,7
50024,深蓝补给箱,10048,HEAD_boardhelemt,6,55001,7
50024,深蓝补给箱,10014,HEADCRAB,6,55001,7
50024,深蓝补给箱,20018,VALVE,6,55001,7
50024,深蓝补给箱,2008,POINTLOTTO,30,55001,0
50024,深蓝补给箱,2014,POINTLOTTO_GOLD,30,55001,0
50024,深蓝补给箱,2013,POINTLOTTO_EVENT,30,55001,0
50026,橘红补给箱,5254,KNIFE_MIU,1,55007,0
50026,橘红补给箱,5255,KNIFE_ATHENA,1,55007,0
50026,橘红补给箱,127,awmgauss,1,55007,0
50026,橘红补给箱,5253,TOYHAMMER_GOLD,1,55007,0
50026,橘红补给箱,5245,usp_gauss,1,55007,0
50026,橘红补给箱,5246,GLOCK18_gauss,1,55007,0
50026,橘红补给箱,5247,deserteagle_gauss,1,55007,0
50026,橘红补给箱,30022,glove_kwanwoo,3,55007,0
50026,橘红补给箱,10052,HEAD_2015sheep,3,55007,7
50026,橘红补给箱,20042,back_2015sheep,3,55007,7
50026,橘红补给箱,30017,glove_2015sheep,3,55007,7
50026,橘红补给箱,10005,HELMET,3,55007,7
50026,橘红补给箱,10047,HEAD_sunglasshat,3,55007,7
50026,橘红补给箱,20035,back_deltabag,3,55007,7
50026,橘红补给箱,20040,back_p77,3,55007,7
50026,橘红补给箱,10049,HEAD_mask_01,3,55007,7
50026,橘红补给箱,10050,HEAD_mask_02,3,55007,7
50026,橘红补给箱,10072,head_head_rokahat,3,55007,7
50026,橘红补给箱,20057,back_rokabag,3,55007,7
50026,橘红补给箱,2019,INSTANT_RESPAWN,15,55007,0
50026,橘红补给箱,2020,HP_POTION,15,55007,0
50026,橘红补给箱,20041,back_turtlebag,6,55007,7
50026,橘红补给箱,20038,back_miladoll,6,55007,7
50026,橘红补给箱,20036,back_lisaboard,6,55007,7
50026,橘红补给箱,20037,back_milaboard,6,55007,7
50026,橘红补给箱,10048,HEAD_boardhelemt,6,55007,7
50026,橘红补给箱,10014,HEADCRAB,6,55007,7
50026,橘红补给箱,20018,VALVE,6,55007,7
50026,橘红补给箱,2008,POINTLOTTO,30,55007,0
50026,橘红补给箱,2014,POINTLOTTO_GOLD,30,55007,0
50026,橘红补给箱,2013,POINTLOTTO_EVENT,30,55007,0
50029,幸运的圣诞补给箱,1026,marie01,1,55003,0
50029,幸运的圣诞补给箱,1027,natalie01,1,55003,0
50029,幸运的圣诞补给箱,1041,lisa03xmas,1,55003,0
50029,幸运的圣诞补给箱,1042,mila03xmas,1,55003,0
50029,幸运的圣诞补给箱,5273,mg3_xmas,1,55003,0
50029,幸运的圣诞补给箱,5274,usas12_xmas,1,55003,0
50029,幸运的圣诞补给箱,5275,m99_xmas,1,55003,0
50029,幸运的圣诞补给箱,5158,ak12_xmas1,1,55003,0
50029,幸运的圣诞补给箱,5159,ak12_xmas1,1,55003,0
50029,幸运的圣诞补给箱,10052,HEAD_2015sheep,3,55003,7
50029,幸运的圣诞补给箱,20042,back_2015sheep,3,55003,7
50029,幸运的圣诞补给箱,30017,glove_2015sheep,3,55003,7
50029,幸运的圣诞补给箱,10005,HELMET,3,55003,7
50029,幸运的圣诞补给箱,10047,HEAD_sunglasshat,3,55003,7
50029,幸运的圣诞补给箱,20035,back_deltabag,3,55003,7
50029,幸运的圣诞补给箱,20040,back_p77,3,55003,7
50029,幸运的圣诞补给箱,10049,HEAD_mask_01,3,55003,7
50029,幸运的圣诞补给箱,10050,HEAD_mask_02,3,55003,7
50029,幸运的圣诞补给箱,10072,head_head_rokahat,3,55003,7
50029,幸运的圣诞补给箱,20057,back_rokabag,3,55003,7
50029,幸运的圣诞补给箱,2019,INSTANT_RESPAWN,15,55003,0
50029,幸运的圣诞补给箱,2020,HP_POTION,15,55003,0
50029,幸运的圣诞补给箱,20041,back_turtlebag,6,55003,7
50029,幸运的圣诞补给箱,20038,back_miladoll,6,55003,7
50029,幸运的圣诞补给箱,20036,back_lisaboard,6,55003,7
50029,幸运的圣诞补给箱,20037,back_milaboard,6,55003,7
50029,幸运的圣诞补给箱,10048,HEAD_boardhelemt,6,55003,7
50029,幸运的圣诞补给箱,10014,HEADCRAB,6,55003,7
50029,幸运的圣诞补给箱,20018,VALVE,6,55003,7
50029,幸运的圣诞补给箱,2008,POINTLOTTO,30,55003,0
50029,幸运的圣诞补给箱,2014,POINTLOTTO_GOLD,30,55003,0
50029,幸运的圣诞补给箱,2013,POINTLOTTO_EVENT,30,55003,0
50041,冰雪补给箱,5370,mk18pulse,1,55015,0
50041,冰雪补给箱,1057,helga01xmas,1,55015,30
50041,冰雪补给箱,1058,white01xmas,1,55015,0
50041,冰雪补给箱,10129,helga01xmas,1,55015,0
50041,冰雪补给箱,10130,white01xmas,1,55015,0
50041,冰雪补给箱,5366,m27iar_xmas,1,55015,0
50041,冰雪补给箱,5367,ar57_xmas,1,55015,0
50041,冰雪补给箱,5368,GILBOASNAKE_xmas,1,55015,0
50041,冰雪补给箱,5369,galilsniper_xmas,1,55015,0
50041,冰雪补给箱,5369,galilsniper_xmas,1,55015,0
50041,冰雪补给箱,10052,HEAD_2015sheep,3,55015,7
50041,冰雪补给箱,20042,back_2015sheep,3,55015,7
50041,冰雪补给箱,30017,glove_2015sheep,3,55015,7
50041,冰雪补给箱,10005,HELMET,3,55015,7
50041,冰雪补给箱,10047,HEAD_sunglasshat,3,55015,7
50041,冰雪补给箱,20035,back_deltabag,3,55015,7
50041,冰雪补给箱,20040,back_p77,3,55015,7
50041,冰雪补给箱,10049,HEAD_mask_01,3,55015,7
50041,冰雪补给箱,10050,HEAD_mask_02,3,55015,7
50041,冰雪补给箱,10072,head_head_rokahat,3,55015,7
50041,冰雪补给箱,20057,back_rokabag,3,55015,7
50041,冰雪补给箱,2019,INSTANT_RESPAWN,15,55015,0
50041,冰雪补给箱,2020,HP_POTION,15,55015,0
50041,冰雪补给箱,20041,back_turtlebag,6,55015,7
50041,冰雪补给箱,20038,back_miladoll,6,55015,7
50041,冰雪补给箱,20036,back_lisaboard,6,55015,7
50041,冰雪补给箱,20037,back_milaboard,6,55015,7
50041,冰雪补给箱,10048,HEAD_boardhelemt,6,55015,7
50041,冰雪补给箱,10014,HEADCRAB,6,55015,7
50041,冰雪补给箱,20018,VALVE,6,55015,7
50041,冰雪补给箱,2008,POINTLOTTO,30,55015,0
50041,冰雪补给箱,2014,POINTLOTTO_GOLD,30,55015,0
50041,冰雪补给箱,2013,POINTLOTTO_EVENT,30,55015,0
50036,冰橙补给箱,147,tmpmelt,1,55012,0
50036,冰橙补给箱,1047,EMMA02SWIM,1,55012,0
50036,冰橙补给箱,1048,TAMMY02SWIM,1,55012,0
50036,冰橙补给箱,5230,netlauncher_gold,1,55012,0
50036,冰橙补给箱,5231,harpoon_gold,1,55012,0
50036,冰橙补给箱,10077,head_watermelon,1,55012,0
50036,冰橙补给箱,20062,flamingotube,1,55012,0
50036,冰橙补给箱,10052,HEAD_2015sheep,3,55012,7
50036,冰橙补给箱,20042,back_2015sheep,3,55012,7
50036,冰橙补给箱,30017,glove_2015sheep,3,55012,7
50036,冰橙补给箱,10005,HELMET,3,55012,7
50036,冰橙补给箱,10047,HEAD_sunglasshat,3,55012,7
50036,冰橙补给箱,20035,back_deltabag,3,55012,7
50036,冰橙补给箱,20040,back_p77,3,55012,7
50036,冰橙补给箱,10049,HEAD_mask_01,3,55012,7
50036,冰橙补给箱,10050,HEAD_mask_02,3,55012,7
50036,冰橙补给箱,10072,head_head_rokahat,3,55012,7
50036,冰橙补给箱,20057,back_rokabag,3,55012,7
50036,冰橙补给箱,2019,INSTANT_RESPAWN,15,55012,0
50036,冰橙补给箱,2020,HP_POTION,15,55012,0
50036,冰橙补给箱,20041,back_turtlebag,6,55012,7
50036,冰橙补给箱,20038,back_miladoll,6,55012,7
50036,冰橙补给箱,20036,back_lisaboard,6,55012,7
50036,冰橙补给箱,20037,back_milaboard,6,55012,7
50036,冰橙补给箱,10048,HEAD_boardhelemt,6,55012,7
50036,冰橙补给箱,10014,HEADCRAB,6,55012,7
50036,冰橙补给箱,20018,VALVE,6,55012,7
50036,冰橙补给箱,2008,POINTLOTTO,30,55012,0
50036,冰橙补给箱,2014,POINTLOTTO_GOLD,30,55012,0
50036,冰橙补给箱,2013,POINTLOTTO_EVENT,30,55012,0
